no,word,meaning,example_sentence,source,known,note,created_at,updated_at
38,organ,器官，臓器；組織；（パイプ）オルガン,The article explained the meaning of organ clearly.,英検準1級 でる順パス単 CSV,0,,,
39,critic,批判する人、批評家,The situation became more critic than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
40,region,地域；領域；部位,The article explained the meaning of region clearly.,英検準1級 でる順パス単 CSV,0,,,
41,tax,税金、税,The article explained the meaning of tax clearly.,英検準1級 でる順パス単 CSV,0,,,
42,access,利用，入手；接近（の機会・方法・権利）,The article explained the meaning of access clearly.,英検準1級 でる順パス単 CSV,0,,,
43,virus,ウイルス；（感染症の）病原体,The article explained the meaning of virus clearly.,英検準1級 でる順パス単 CSV,0,,,
44,bill,請求書；【英】勘定書（≒【米】check）；法案,The article explained the meaning of bill clearly.,英検準1級 でる順パス単 CSV,0,,,
45,evidence,証拠,The report mentioned an important evidence in detail.,英検準1級 でる順パス単 CSV,0,,,
46,attempt,を試みる，企てる,The new policy may attempt the whole community.,英検準1級 でる順パス単 CSV,0,,,
47,account,説明；勘定；口座,The article explained the meaning of account clearly.,英検準1級 でる順パス単 CSV,0,,,
48,theory,学説；理論；原理；推測,The situation became more theory than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
49,factor,要因、要素,The report mentioned a important factor in detail.,英検準1級 でる順パス単 CSV,0,,,
50,stock,在庫品；蓄え；株,The article explained the meaning of stock clearly.,英検準1級 でる順パス単 CSV,0,,,
51,chemical,化学の，化学的な,The situation became more chemical than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
52,media,マスメディア、マスコミ,The article explained the meaning of media clearly.,英検準1級 でる順パス単 CSV,0,,,
53,income,収入；所得,The article explained the meaning of income clearly.,英検準1級 でる順パス単 CSV,0,,,
54,supply,を供給する,She responded supply during the meeting.,英検準1級 でる順パス単 CSV,0,,,
55,shortage,不足、欠如,The report mentioned a important shortage in detail.,英検準1級 でる順パス単 CSV,0,,,
56,poverty,貧困、欠乏,The article explained the meaning of poverty clearly.,英検準1級 でる順パス単 CSV,0,,,
57,criminal,犯人、犯罪者,The situation became more criminal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
58,budget,予算；経費,The article explained the meaning of budget clearly.,英検準1級 でる順パス単 CSV,0,,,
59,authority,〔通例 the ～ties〕（関係）当局；権威；権限,The report mentioned an important authority in detail.,英検準1級 でる順パス単 CSV,0,,,
60,genome,ゲノム,The article explained the meaning of genome clearly.,英検準1級 でる順パス単 CSV,0,,,
61,atmosphere,〔the ～〕大気；雰囲気,The article explained the meaning of atmosphere clearly.,英検準1級 でる順パス単 CSV,0,,,
62,aid,を援助する，助ける（≒help）,The new policy may aid the whole community.,英検準1級 でる順パス単 CSV,0,,,
63,measure,措置、程度、基準,The report mentioned a important measure in detail.,英検準1級 でる順パス単 CSV,0,,,
64,subject,話題；科目；主題；被験者,The article explained the meaning of subject clearly.,英検準1級 でる順パス単 CSV,0,,,
65,decade,10年間,The article explained the meaning of decade clearly.,英検準1級 でる順パス単 CSV,0,,,
66,weapon,兵器，武器（≒arms）,The article explained the meaning of weapon clearly.,英検準1級 でる順パス単 CSV,0,,,
67,nutrient,栄養分、栄養になるもの,The situation became more nutrient than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
68,expense,〔～s〕経費；費用；犠牲,The article explained the meaning of expense clearly.,英検準1級 でる順パス単 CSV,0,,,
69,structure,構造；体系；構造物,The report mentioned a important structure in detail.,英検準1級 でる順パス単 CSV,0,,,
70,adolescent,青年,The situation became more adolescent than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
71,procedure,手順、手続き,The report mentioned a important procedure in detail.,英検準1級 でる順パス単 CSV,0,,,
72,minimum,最小限度,The article explained the meaning of minimum clearly.,英検準1級 でる順パス単 CSV,0,,,
73,fuel,燃料；勢いを増加させるもの,The article explained the meaning of fuel clearly.,英検準1級 でる順パス単 CSV,0,,,
74,resource,〔通例～s〕資源；〔通例～s〕資金；才覚,The article explained the meaning of resource clearly.,英検準1級 でる順パス単 CSV,0,,,
75,regulation,規則、規制,The report mentioned a important regulation in detail.,英検準1級 でる順パス単 CSV,0,,,
76,contract,契約（書）；協定,The article explained the meaning of contract clearly.,英検準1級 でる順パス単 CSV,0,,,
77,insurance,保険；保険料；保険金,The report mentioned an important insurance in detail.,英検準1級 でる順パス単 CSV,0,,,
78,employment,雇用、職,The report mentioned an important employment in detail.,英検準1級 でる順パス単 CSV,0,,,
79,ban,を（法的に）禁止する；を締め出す,The new policy may ban the whole community.,英検準1級 でる順パス単 CSV,0,,,
80,vehicle,車、(特に陸上の)乗り物、輸送機関、伝達手段,The article explained the meaning of vehicle clearly.,英検準1級 でる順パス単 CSV,0,,,
81,soil,土地，土壌；（悪事などの）温床,The situation became more soil than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
82,cargo,(主に船・飛行機の)積荷、貨物,The article explained the meaning of cargo clearly.,英検準1級 でる順パス単 CSV,0,,,
83,aircraft,航空機、飛行機,The article explained the meaning of aircraft clearly.,英検準1級 でる順パス単 CSV,0,,,
84,current,現在の；現代の；通用している,The situation became more current than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
85,political,政治（上）の,The situation became more political than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
86,significant,重要な，重大な；意義深い,The situation became more significant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
87,effective,効果的な、有効な,The situation became more effective than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
88,military,軍の，軍事（用）の,The report mentioned a important military in detail.,英検準1級 でる順パス単 CSV,0,,,
89,due,予定された；（支払）期日で；しかるべき,The article explained the meaning of due clearly.,英検準1級 でる順パス単 CSV,0,,,
90,essential,（～に）必要不可欠な（to/for）；本質的な,The situation became more essential than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
91,illegal,違法の、非合法の,The situation became more illegal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
92,immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）,The article explained the meaning of immune clearly.,英検準1級 でる順パス単 CSV,0,,,
93,numerous,非常に数の多い,The situation became more numerous than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
94,extreme,極端な；極度の，過激な,The situation became more extreme than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
95,general,全体の、一般的な,The situation became more general than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
96,agricultural,農業の、農耕の,The situation became more agricultural than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
97,overall,総合的な；全体的な,The situation became more overall than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
98,additional,追加の、付加的な,The situation became more additional than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
99,entire,全体の，全部の（≒whole）；完全な,The situation became more entire than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
100,severe,（人・規律・事態・天気などが）厳しい；猛烈な,The situation became more severe than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
101,alter,を変える；変わる（≒change）,The report mentioned an important alter in detail.,英検準1級 でる順パス単 CSV,0,,,
102,adopt,を採用する；（態度など）をとる；を養子にする,The situation became more adopt than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
103,vote,投票；投票結果；〔the ～〕選挙権,The article explained the meaning of vote clearly.,英検準1級 でる順パス単 CSV,0,,,
104,determine,を決定する；を正確に知る,The new policy may determine the whole community.,英検準1級 でる順パス単 CSV,0,,,
105,enable,（人）が...できるようにする；を可能にする,The situation became more enable than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
106,conduct,（調査・実験など）を実施する；を導く,The situation became more conduct than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
107,direct,を案内する、を指揮する,The new policy may direct the whole community.,英検準1級 でる順パス単 CSV,0,,,
108,absorb,を吸収する；を併合する；を夢中にさせる,The new policy may absorb the whole community.,英検準1級 でる順パス単 CSV,0,,,
109,imply,を暗に意味する；を必然的に伴う,She responded imply during the meeting.,英検準1級 でる順パス単 CSV,0,,,
110,operate,を操作する；機能する；手術する,The situation became more operate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
111,demonstrate,を論証［証明］する；デモをする,The situation became more demonstrate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
112,boost,を押し上げる；を増加させる,The new policy may boost the whole community.,英検準1級 でる順パス単 CSV,0,,,
113,prove,を証明する；判明する，わかる,The new policy may prove the whole community.,英検準1級 でる順パス単 CSV,0,,,
114,monitor,を監視する；を傍受する,The report mentioned a important monitor in detail.,英検準1級 でる順パス単 CSV,0,,,
115,defeat,を負かす（≒beat）；を失敗させる,The new policy may defeat the whole community.,英検準1級 でる順パス単 CSV,0,,,
116,protest,（に）抗議する；を主張する,The new policy may protest the whole community.,英検準1級 でる順パス単 CSV,0,,,
117,target,（到達・攻撃）目標；的,The article explained the meaning of target clearly.,英検準1級 でる順パス単 CSV,0,,,
118,preserve,を保存する；を保持する；を保護する,The new policy may preserve the whole community.,英検準1級 でる順パス単 CSV,0,,,
119,oppose,に反対する；を対抗［対比］させる,The new policy may oppose the whole community.,英検準1級 でる順パス単 CSV,0,,,
120,migrate,移住する；（鳥などが）渡る,The situation became more migrate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
121,analyze,を分析する,The new policy may analyze the whole community.,英検準1級 でる順パス単 CSV,0,,,
122,discourage,（人）にやる気をなくさせる；を落胆させる,The report mentioned a important discourage in detail.,英検準1級 でる順パス単 CSV,0,,,
123,confirm,を確認する；を裏づける,The new policy may confirm the whole community.,英検準1級 でる順パス単 CSV,0,,,
124,intend,を意図する,The new policy may intend the whole community.,英検準1級 でる順パス単 CSV,0,,,
125,predict,を予言［予測］する,The new policy may predict the whole community.,英検準1級 でる順パス単 CSV,0,,,
126,extend,を伸［延］ばす；伸びる；及ぶ,The new policy may extend the whole community.,英検準1級 でる順パス単 CSV,0,,,
127,figure,数字；姿；人物；図表,The report mentioned a important figure in detail.,英検準1級 でる順パス単 CSV,0,,,
128,transportation,交通[輸送]機関、輸送,The report mentioned a important transportation in detail.,英検準1級 でる順パス単 CSV,0,,,
129,institution,機関；協会；施設；制度,The report mentioned an important institution in detail.,英検準1級 でる順パス単 CSV,0,,,
130,theft,窃盗（罪）,The article explained the meaning of theft clearly.,英検準1級 でる順パス単 CSV,0,,,
131,candidate,（～の）候補（者）（for）；志願者,The situation became more candidate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
132,mammal,哺乳動物,The situation became more mammal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
133,economist,経済学者,The report mentioned an important economist in detail.,英検準1級 でる順パス単 CSV,0,,,
134,protein,たんぱく質,The article explained the meaning of protein clearly.,英検準1級 でる順パス単 CSV,0,,,
135,immigrant,(外国からの)移住者、移民,The situation became more immigrant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
136,property,不動産、財産、特性,The article explained the meaning of property clearly.,英検準1級 でる順パス単 CSV,0,,,
137,fund,〔しばしば～s〕基金，資金,The article explained the meaning of fund clearly.,英検準1級 でる順パス単 CSV,0,,,
138,habitat,生息地；（人の）居住地,The report mentioned a important habitat in detail.,英検準1級 でる順パス単 CSV,0,,,
139,symptom,症状；兆候（≒sign）,The article explained the meaning of symptom clearly.,英検準1級 でる順パス単 CSV,0,,,
140,eruption,勃発、噴火,The report mentioned an important eruption in detail.,英検準1級 でる順パス単 CSV,0,,,
141,quantity,量；分量,The report mentioned a important quantity in detail.,英検準1級 でる順パス単 CSV,0,,,
142,ad,広告,The article explained the meaning of ad clearly.,英検準1級 でる順パス単 CSV,0,,,
143,saving,節約、倹約、預金(額)、蓄え,The situation became more saving than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
144,territory,領土；（活動の）領域；（動物の）テリトリー,The situation became more territory than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
145,threat,脅威；（悪い）兆し；脅迫,The article explained the meaning of threat clearly.,英検準1級 でる順パス単 CSV,0,,,
146,sufferer,苦しむ人、被災者、病人,The report mentioned a important sufferer in detail.,英検準1級 でる順パス単 CSV,0,,,
147,emission,排気、放出(物),The report mentioned an important emission in detail.,英検準1級 でる順パス単 CSV,0,,,
148,executive,重役、幹部、経営者,The situation became more executive than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
149,strategy,戦略,The article explained the meaning of strategy clearly.,英検準1級 でる順パス単 CSV,0,,,
150,riot,暴動,The article explained the meaning of riot clearly.,英検準1級 でる順パス単 CSV,0,,,
151,district,地区；行政区,The article explained the meaning of district clearly.,英検準1級 でる順パス単 CSV,0,,,
152,election,選挙,The report mentioned an important election in detail.,英検準1級 でる順パス単 CSV,0,,,
153,medication,(医師が処方した)薬、医薬品、薬物治療,The report mentioned a important medication in detail.,英検準1級 でる順パス単 CSV,0,,,
154,breed,を繁殖させる，育てる；繁殖する,The situation became more breed than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
155,conflict,争い；論争；不一致,The article explained the meaning of conflict clearly.,英検準1級 でる順パス単 CSV,0,,,
156,productivity,生産性,The report mentioned a important productivity in detail.,英検準1級 でる順パス単 CSV,0,,,
157,organism,有機体、生物,The report mentioned an important organism in detail.,英検準1級 でる順パス単 CSV,0,,,
158,representative,代表者、代理人,The situation became more representative than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
159,warehouse,倉庫,The article explained the meaning of warehouse clearly.,英検準1級 でる順パス単 CSV,0,,,
160,refund,返金、払い戻し(金),The article explained the meaning of refund clearly.,英検準1級 でる順パス単 CSV,0,,,
161,tuition,【主に米】 授業料；（個人）指導,The report mentioned a important tuition in detail.,英検準1級 でる順パス単 CSV,0,,,
162,range,範囲、領域,The article explained the meaning of range clearly.,英検準1級 でる順パス単 CSV,0,,,
163,victim,犠牲（者），被害者,The article explained the meaning of victim clearly.,英検準1級 でる順パス単 CSV,0,,,
164,dose,（薬の1回分の）服用量；放射線の1回の照射量,The article explained the meaning of dose clearly.,英検準1級 でる順パス単 CSV,0,,,
165,mainland,本土,The article explained the meaning of mainland clearly.,英検準1級 でる順パス単 CSV,0,,,
166,waterfall,滝,The article explained the meaning of waterfall clearly.,英検準1級 でる順パス単 CSV,0,,,
167,satellite,人工衛星、衛星,The article explained the meaning of satellite clearly.,英検準1級 でる順パス単 CSV,0,,,
168,evolution,進化、発展、展開,The report mentioned an important evolution in detail.,英検準1級 でる順パス単 CSV,0,,,
169,prey,獲物；犠牲者,The article explained the meaning of prey clearly.,英検準1級 でる順パス単 CSV,0,,,
170,bystander,傍観者,The report mentioned a important bystander in detail.,英検準1級 でる順パス単 CSV,0,,,
171,creature,生き物、(特に人以外の)動物,The report mentioned a important creature in detail.,英検準1級 でる順パス単 CSV,0,,,
172,civilization,文明,The report mentioned a important civilization in detail.,英検準1級 でる順パス単 CSV,0,,,
173,tribe,部族；仲間,The article explained the meaning of tribe clearly.,英検準1級 でる順パス単 CSV,0,,,
174,permission,許可、承認,The report mentioned a important permission in detail.,英検準1級 でる順パス単 CSV,0,,,
175,barrier,（～に対する）障壁（against/to）；防壁,The report mentioned a important barrier in detail.,英検準1級 でる順パス単 CSV,0,,,
176,wage,賃金、給料,The report mentioned a important wage in detail.,英検準1級 でる順パス単 CSV,0,,,
177,drone,ドローン、(無線操作の)無人機,The article explained the meaning of drone clearly.,英検準1級 でる順パス単 CSV,0,,,
178,appearance,外観、出現,The report mentioned an important appearance in detail.,英検準1級 でる順パス単 CSV,0,,,
179,embassy,大使館；大使一行,The article explained the meaning of embassy clearly.,英検準1級 でる順パス単 CSV,0,,,
180,skeleton,骨格；骨組み；概略,The article explained the meaning of skeleton clearly.,英検準1級 でる順パス単 CSV,0,,,
181,wildlife,野生生物,The article explained the meaning of wildlife clearly.,英検準1級 でる順パス単 CSV,0,,,
182,potential,潜在的な；可能性を秘めた,The situation became more potential than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
183,limited,限定された、わずかの,The situation became more limited than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
184,rural,田舎の（⇔urban），田園の,The situation became more rural than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
185,advanced,進歩した、前進した、上級の,The situation became more advanced than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
186,beneficial,有益な、有利な,The situation became more beneficial than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
187,genetic,遺伝子の,The situation became more genetic than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
188,radical,急進的な；根本的な,The situation became more radical than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
189,hostile,敵意のある（⇔friendly 友好的な）,The situation became more hostile than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
190,fit,健康な、元気な、ふさわしい,The situation became more fit than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
191,long-term,長期にわたる、長期的な,The situation became more long-term than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
192,Arctic,北極の,The expression 'Arctic' is useful in formal English.,英検準1級 でる順パス単 CSV,0,,,
193,minor,重要でない；小さい,The report mentioned a important minor in detail.,英検準1級 でる順パス単 CSV,0,,,
194,risky,危険な,The situation became more risky than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
195,complex,複雑な、複合(体)の,The situation became more complex than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
196,competitive,競争力のある、格安の、競争の,The situation became more competitive than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
197,immediate,即座の；当面の；すぐそばの；直接の,The situation became more immediate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
198,religious,宗教(上)の、信仰があつい,The situation became more religious than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
199,related,関連した、関係のある,The situation became more related than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
200,affordable,手頃な、安価な,The situation became more affordable than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
201,donate,を寄付する；（臓器・血液）を提供する,The situation became more donate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
202,lessen,を減らす,The new policy may lessen the whole community.,英検準1級 でる順パス単 CSV,0,,,
203,manufacture,を製造する；をでっち上げる,The report mentioned a important manufacture in detail.,英検準1級 でる順パス単 CSV,0,,,
204,commute,通勤［通学］する,The new policy may commute the whole community.,英検準1級 でる順パス単 CSV,0,,,
205,exaggerate,（を）誇張する；を強調する,The situation became more exaggerate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
206,suspect,ではないかと思う；（人）を疑う,The situation became more suspect than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
207,acquire,を得る；を習得する,The new policy may acquire the whole community.,英検準1級 でる順パス単 CSV,0,,,
208,reintroduce,(動植物など)をかつての分布域に再導入する、(制度など)を復活させる,The situation became more reintroduce than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
209,reschedule,の日時を変更する,The new policy may reschedule the whole community.,英検準1級 でる順パス単 CSV,0,,,
210,adapt,適応する；を（～に）適合させる（to）,The new policy may adapt the whole community.,英検準1級 でる順パス単 CSV,0,,,
211,generate,を生み出す；（電気など）を発生させる,The situation became more generate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
212,guarantee,を保証する,The new policy may guarantee the whole community.,英検準1級 でる順パス単 CSV,0,,,
213,dump,を投棄する；をどさっと落とす,The new policy may dump the whole community.,英検準1級 でる順パス単 CSV,0,,,
214,update,を最新のものにする；をアップデートする,The situation became more update than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
215,classify,を分類する；を機密扱いにする,The new policy may classify the whole community.,英検準1級 でる順パス単 CSV,0,,,
216,acknowledge,"（事実など）を認める（≒admit, accept）；に謝意を表す",The situation became more acknowledge than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
217,enforce,を施行［実施］する；を（～に）強制する（on/upon）,The new policy may enforce the whole community.,英検準1級 でる順パス単 CSV,0,,,
218,renew,を更新する；（資源）を再生する,The new policy may renew the whole community.,英検準1級 でる順パス単 CSV,0,,,
219,overlook,を見落とす；を大目に見る；を見渡す,The new policy may overlook the whole community.,英検準1級 でる順パス単 CSV,0,,,
220,evaluate,を評価する；を査定する,The situation became more evaluate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
221,commit,献身する；（罪など）を犯す；を投入する,The situation became more commit than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
222,argument,議論、口論,The report mentioned an important argument in detail.,英検準1級 でる順パス単 CSV,0,,,
223,archaeologist,考古学者,The report mentioned an important archaeologist in detail.,英検準1級 でる順パス単 CSV,0,,,
224,reputation,評判；名声,The report mentioned a important reputation in detail.,英検準1級 でる順パス単 CSV,0,,,
225,fossil,化石；時代遅れの人［物］,The article explained the meaning of fossil clearly.,英検準1級 でる順パス単 CSV,0,,,
226,status,地位；状態,The article explained the meaning of status clearly.,英検準1級 でる順パス単 CSV,0,,,
227,contrast,（～との）対照（with/to）,The article explained the meaning of contrast clearly.,英検準1級 でる順パス単 CSV,0,,,
228,workplace,職場,The article explained the meaning of workplace clearly.,英検準1級 でる順パス単 CSV,0,,,
229,equality,平等,The report mentioned an important equality in detail.,英検準1級 でる順パス単 CSV,0,,,
230,colleague,（職場の）同僚,The article explained the meaning of colleague clearly.,英検準1級 でる順パス単 CSV,0,,,
231,assistance,援助、支援,The report mentioned an important assistance in detail.,英検準1級 でる順パス単 CSV,0,,,
232,luxury,ぜいたく（品）；〔形容詞的に〕豪華な,The situation became more luxury than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
233,outbreak,発生，勃発,The article explained the meaning of outbreak clearly.,英検準1級 でる順パス単 CSV,0,,,
234,council,（地方）議会；評議会；（公の）会議,The article explained the meaning of council clearly.,英検準1級 でる順パス単 CSV,0,,,
235,pottery,陶器類、焼き物類,The article explained the meaning of pottery clearly.,英検準1級 でる順パス単 CSV,0,,,
236,assignment,任務、宿題、割り当て,The report mentioned an important assignment in detail.,英検準1級 でる順パス単 CSV,0,,,
237,particle,（微）粒子；ほんのわずか,The article explained the meaning of particle clearly.,英検準1級 でる順パス単 CSV,0,,,
238,radiation,放射能，放射線,The report mentioned a important radiation in detail.,英検準1級 でる順パス単 CSV,0,,,
239,priority,優先（事項）,The report mentioned a important priority in detail.,英検準1級 でる順パス単 CSV,0,,,
240,content,内容，中身；コンテンツ,The situation became more content than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
241,destination,(旅行などの)目的地、行き先,The report mentioned a important destination in detail.,英検準1級 でる順パス単 CSV,0,,,
242,mine,鉱山、地雷,The article explained the meaning of mine clearly.,英検準1級 でる順パス単 CSV,0,,,
243,injury,傷害、けが,The article explained the meaning of injury clearly.,英検準1級 でる順パス単 CSV,0,,,
244,lottery,宝くじ、抽選,The article explained the meaning of lottery clearly.,英検準1級 でる順パス単 CSV,0,,,
245,feature,特徴、特集記事,The report mentioned a important feature in detail.,英検準1級 でる順パス単 CSV,0,,,
246,labor,労働、労働力,The report mentioned a important labor in detail.,英検準1級 でる順パス単 CSV,0,,,
247,diabetes,糖尿病,The article explained the meaning of diabetes clearly.,英検準1級 でる順パス単 CSV,0,,,
248,bulb,電球、球根,The article explained the meaning of bulb clearly.,英検準1級 でる順パス単 CSV,0,,,
249,résumé,履歴書[≒CV]、要約,The article explained the meaning of résumé clearly.,英検準1級 でる順パス単 CSV,0,,,
250,mud,ぬかるみ、泥,The article explained the meaning of mud clearly.,英検準1級 でる順パス単 CSV,0,,,
251,psychology,心理学；心理（状態）,The report mentioned a important psychology in detail.,英検準1級 でる順パス単 CSV,0,,,
252,corporation,（大）企業；法人,The report mentioned a important corporation in detail.,英検準1級 でる順パス単 CSV,0,,,
253,ecosystem,生態系,The article explained the meaning of ecosystem clearly.,英検準1級 でる順パス単 CSV,0,,,
